dataset,target_model,method,method_variant,backend,n_counterfactuals,seed_n,primary_coverage_mean,primary_coverage_std,primary_coverage_n,primary_validity_returned_class_mean,primary_validity_returned_class_std,primary_validity_returned_class_n,primary_validity_returned_threshold_mean,primary_validity_returned_threshold_std,primary_validity_returned_threshold_n,proximity_grouped_gower_mean,proximity_grouped_gower_std,proximity_grouped_gower_n,action_unit_sparsity_mean_mean,action_unit_sparsity_mean_std,action_unit_sparsity_mean_n
bank_marketing,retained_xgboost,nice,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.044,0.0,5,0.02781158136292449,0.0,5,1.32,0.0,5
bank_marketing,retained_logistic_regression,wachter,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.004,0.0,5,0.06621629539977446,0.0,5,1.616,0.0,5
bank_marketing,retained_mlp,wachter,default,,1,5,0.9960000000000001,1.2412670766236366e-16,5,1.0,0.0,5,0.012048192771084338,0.0,5,0.03658557332300969,0.0,5,1.0923694779116466,0.0,5
bank_marketing,retained_xgboost,wachter,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.004,0.0,5,0.03424952534556043,0.0,5,1.36,0.0,5
german_credit,retained_logistic_regression,countercontex,default,tabicl,1,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.056568866806134085,0.0,5,1.4083333333333334,0.0,5
german_credit,retained_mlp,countercontex,default,tabicl,1,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.06392315216736347,0.0,5,1.3083333333333333,0.0,5
german_credit,retained_xgboost,countercontex,default,tabicl,1,5,1.0,0.0,5,1.0,0.0,5,0.20833333333333334,0.0,5,0.029564222159084663,0.0,5,0.9,0.0,5
german_credit,retained_logistic_regression,dice,default,,1,5,0.9933333333333334,0.0069721668877839775,5,1.0,0.0,5,0.06206072259412239,0.011096677951646036,5,0.08121021234221484,0.001964815373554499,5,1.8708652613587808,0.025222691153805415,5
german_credit,retained_mlp,dice,default,,1,5,0.97,0.015138251770487441,5,1.0,0.0,5,0.0,0.0,5,0.09308370742251001,0.001941244536516035,5,1.8852292257768735,0.039035732931813005,5
german_credit,retained_xgboost,dice,default,,1,5,0.9983333333333334,0.0037267799624996364,5,1.0,0.0,5,0.19864145658263305,0.028916125260091092,5,0.058765713838741386,0.0025700502176624405,5,1.4072549019607843,0.06375131452610387,5
german_credit,retained_logistic_regression,face,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.30833333333333335,0.0,5,0.21244407361847945,3.1031676915590914e-17,5,6.325,0.0,5
german_credit,retained_mlp,face,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.22120112218383942,3.1031676915590914e-17,5,6.5,0.0,5
german_credit,retained_xgboost,face,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.6916666666666667,0.0,5,0.20272905000617034,0.0,5,6.091666666666667,0.0,5
german_credit,retained_logistic_regression,growing_spheres,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.04833333333333333,0.010865337342004415,5,0.07765820055622412,0.0013217401552995654,5,1.4733333333333334,0.04908892158341049,5
german_credit,retained_mlp,growing_spheres,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.0,0.0,5,0.07334227521442829,0.00041263292153966046,5,1.335,0.010865337342004453,5
german_credit,retained_xgboost,growing_spheres,default,,1,5,1.0,0.0,5,1.0,0.0,5,0.15833333333333333,0.0338501600193165,5,0.04781687245023833,0.0008278924315142707,5,0.905,0.012638125740085875,5
german_credit,retained_logistic_regression,nice,default,,1,5,0.975,0.0,5,1.0,0.0,5,0.10256410256410256,0.0,5,0.08498016622398133,0.0,5,1.7863247863247864,0.0,5
